Specification,Description,Manufacturer,Manufacturer P/N,Vendor,Vendor P/N,Manufacturing Procedure,QC Procedure
Assembly,Prototype Engine Subassembly,CCG (custom part),GHL-1-22002,CCG,GHL-1-22002,TBD,TBD
Component,DIX36B Eccentric,CCG (custom part),GHL-1-20004,CCG,GHL-1-20004,TBD,TBD
Assembly,Tube Holder Subassembly,CCG (custom part),GHL-1-22001,CCG,GHL-1-22001,TBD,TBD
Component,Concept Bearing Block,CCG (custom part),GHL-1-20005,CCG,GHL-1-20005,TBD,TBD
Component,Heater Block,CCG (custom part),GHL-1-20007,CCG,GHL-1-20007,TBD,TBD
Component,"Screw, 18-8 Stainless Steel, Button Head Hex Drive, 4-40 Thread Size, 3/16"" Long",unknown,[p/n],McMaster-Carr,92949A105,N/A,Incoming Inspection
Component,"Ball Bearing, Permanently Lubricated, Stainless Steel, Sealed, Trade Number R3-2RS, for 3/16"" Shaft Diameter",unknown,[p/n],McMaster-Carr,4668K11,N/A,Incoming Inspection
Component,"Screw, Button Head Hex Drive, 6-32 Thread, 3/16"" Long",unknown,[p/n],McMaster-Carr,92949A143,N/A,Incoming Inspection
Component,"Brushless DC Motor, 5200 RPM, 7W, 24VDC","NMB Technologies, A MinebeaMitsumi Group Company (DIX36B)",DIX36B,*Mouser Electronics,472-DIX36B,N/A,Incoming Inspection
Component,Simple Snap Cap,CCG (custom part),GHL-1-20018,CCG,,TBD,TBD
Component,Silicone Insulator Sleeve,CCG (custom part),GHL-1-20023,CCG,,TBD,TBD
Component,Sample Prep Module Heater PCA,Odic (custom PCB assembly),GHL-1-21001,CCG,,TBD,TBD
Component,Custom 8127A82,CCG (custom part),GHL-1-20024,CCG,,TBD,TBD
Component,Sample Prep Module Base,CCG (custom part),GHL-1-20001,CCG,,TBD,TBD
Component,Sample Prep Module Housing Top,CCG (custom part),GHL-1-20002,CCG,,TBD,TBD
Component,Sample Prep Module Battery Access Cover,CCG (custom part),GHL-1-20020,CCG ,,TBD,TBD
Component,"Screw, 18-8 Stainless Steel, Socket Head, 10-24 Thread, 1/2"" Long",unknown,[p/n],McMaster-Carr,92196A242,N/A,Incoming Inspection
Component,Offset Door,CCG (custom part),GHL-1-20003,CCG,,TBD,TBD
Component,"Cylinder Magnet, Neodymium, D44, 0.25"" Diameter, 0.25"" Thickness",unknown,[p/n],KJ Magnetics,D44,N/A,Incoming Inspection
Component,Door Gibb,CCG (custom part),GHL-1-20015,CCG,,TBD,TBD
