Altium Designer Pick and Place Locations
D:\AltiumShared\Documents\GHL NAATOS Sample Prep Main Board_1\Project Outputs for GHL NAATOS Sample Prep Main Board\Pick Place\Pick Place for GHL NAATOS Sample Prep Main Board.txt

========================================================================================================================
File Design Information:

Date:       28/05/25
Time:       14:00
Revision:   f11bd79e681ce17f677a903e229a530e00da3c11
Variant:    No variations
Units used: mm

Designator Comment                             Layer       Footprint                      Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                         
U17        NCP333FCT2G                         TopLayer    bga4_p743xp743_p4mm            20.8000      7.9000       0        "IC LOAD SWITCH W/DIS 1.5A 4WLCSP"                                                                                                  
U13        NCP333FCT2G                         TopLayer    bga4_p743xp743_p4mm            23.7000      31.1000      180      "IC LOAD SWITCH W/DIS 1.5A 4WLCSP"                                                                                                  
TP10       TPC30                               BottomLayer tpc30                          16.1000      27.2000      90       "Test Point Circle 30"                                                                                                              
R43        R0402_10k_1pct                      TopLayer    R0402                          30.1000      52.9000      0        "Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD SMD T/R"                                                                
R36        R0402_4k7_1pct                      BottomLayer R0402                          12.4000      53.6000      0        "RES 4.7K OHM 1% 1/16W 0402"                                                                                                        
R35        R0402_4k7_1pct                      BottomLayer R0402                          12.0000      52.2500      0        "RES 4.7K OHM 1% 1/16W 0402"                                                                                                        
U15        NCP333FCT2G                         TopLayer    bga4_p743xp743_p4mm            43.8000      18.7000      180      "IC LOAD SWITCH W/DIS 1.5A 4WLCSP"                                                                                                  
C68        C0402_1u_6V3_10pct                  BottomLayer C0402                          44.5000      16.7500      90       "Cap Ceramic 1uF 6.3V X5R 10% SMD 0402 85C Paper T/R"                                                                               
TP11       TPC30                               BottomLayer tpc30                          44.3000      14.2000      0        "Test Point Circle 30"                                                                                                              
R61        2k                                  BottomLayer R0402                          51.3000      13.5000      180      "Res General Purpose Thick Film 0402 2K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                               
R2         4.99k                               BottomLayer R0402                          20.4000      14.1000      90       "Res General Purpose Thick Film 0402 4.99K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                            
Y2         RT3215-32.768-9-TR                  TopLayer    xtal2_3p2x1p5                  40.3000      15.1000      90       "RT3215 Series 0.032768 ±20 ppm 9pF -40°C TO +85°C SMT Tuning Fork Crystal"                                                         
Y1         DNP                                 BottomLayer xtal2_3p2x1p5                  14.0000      15.2000      0        "RT3215 Series 0.032768 ±20 ppm 9pF -40°C TO +85°C SMT Tuning Fork Crystal"                                                         
U16        LM5157RTER                          BottomLayer qfn16_3x3_p5mm_thpad           47.7000      11.0000      0        "6A/4A, 50-V, 2.2-MHz wide VIN boost, flyback, & SEPIC converter with dual random spread spectrum 16-WQFN -40 to 125"               
U14        IS31FL3196A-QFLS2-TR                TopLayer    qfn20_3x3_p4mm                 9.8000       63.4500      90       "6-Channel Light Effect LED Driver with I2C Interface 2.7V to 5.5V Input 20-Pin QFN T/R"                                            
U12        CAT24C256WI-GT3                     TopLayer    SO8                            31.2350      48.5500      90       "IC EEPROM 256KBIT 400KHZ 8SOIC"                                                                                                    
