Altium Designer Pick and Place Locations
D:\AltiumShared\Documents\GHL NAATOS Sample Prep Main Board RevB ODIC\Project Outputs for GHL NAATOS Sample Prep Main Board RevB ODIC\Pick Place\Pick Place for GHL NAATOS Sample Prep Main Board.txt

========================================================================================================================
File Design Information:

Date:       22/05/25
Time:       15:42
Revision:   b029a081ce8c1aba8a1ceca1a57f5a5bf64e4592
Variant:    No variations
Units used: mm

Designator Comment              Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation Description                                                                                                           
R51        R0402_470k_0p1pct    TopLayer    R0402                      40.4000      31.7000      0        "470 kOhms 0.1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Anti-Sulfur, Autom"                                    
MNT5       "Banana Plug Hole"   TopLayer    conn_wire-1_4mm            37.6000      67.1000      0        "4mm hole to accept banana plug"                                                                                      
J3         TC2030-CTX           TopLayer    tc2030-ctx                 17.7000      91.8000      90       "Cbl Plug-of-nails to Cortex Swd"                                                                                     
C85        10uF                 BottomLayer C0603                      20.4000      -16.7000     90       "Cap Ceramic 10uF 35V X5R 20% Pad SMD 0603 85C T/R"                                                                   
TP7        TPC30                TopLayer    tpc30                      56.9000      -11.5000     0        "Test Point Circle 30"                                                                                                
TP6        TPC30                TopLayer    tpc30                      58.9000      -16.2000     0        "Test Point Circle 30"                                                                                                
R52        R0402_10m_1pct       TopLayer    R2010                      29.1000      29.0000      0        "Res Current Sense Metal Strip 2010 0.01 Ohm 1% 2W ±75ppm/∞C Molded Emboss T/R"                                       
R25        R0402_2k_1pct        TopLayer    R0402                      29.9000      25.2000      90       "Res General Purpose Thick Film 0402 2K Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"                                 
R24        R0402_470R_1pct      TopLayer    R0402                      29.7000      21.8000      90       "Res Thick Film 0402 470 Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R"                                                  
R3         100k                 TopLayer    R0402                      34.4000      9.1000       90       "Res General Purpose Thick Film 0402 100K Ohm 1% 1/16W ±100ppm/∞C Molded SMD Paper T/R"                               
C30        C0402_0u1_16V_10pct  TopLayer    C0402                      31.0000      21.8000      90       "Ceramic capacitor SMD 0402 100nF 16V X7R 10%"                                                                        
U1         MAX17263LETD+T       TopLayer    dfn14_3x3_p4mm             34.0000      34.4000      0        "MAX17263 Series 4.9 V Single/Multi-Cell Ultra-Low Power Fuel-Gauge IC-TDFN-14EP"                                     
U5         TPS70933DRVR         TopLayer    dfn7_2x2_p65mm             42.3500      35.8250      0        "LDO Regulator Positive 3.3V 0.15A 6-Pin SON T/R"                                                                     
U13        TPS629210DRLR        TopLayer    SOT-583                    40.3500      18.4400      90       "3-V to 17-V, 1-A, high-efficiency, low-IQ, synchronous buck converter in SOT-583 package 8-SOT-5X3 -40 to 150"       
