Commit Hash,Date,Author,Tags,Full Commit Message,Version,Short Commit Message
dc38f5ef30fee8f28d99935b1772dcd98eefda61,2/11/2025 17:17,Liam Sullivan,"tag: V3.1_and_odic_splitpoint, odic/V3.1, ghlgit/GHL_V3.1, GHL_V3.1",Merge remote-tracking branch 'origin/GHL_PM_V3.1_ghlRC4' into V3.1,V3.1,LAST ODIC TOUCHPOINT
93d14f8a9eecd61b4370049766772f11ffacb659,2/12/2025 11:27,Simon Ghionea,,"set for JLINK debug, sample-prep, and MOTOR_FG_REWORK (unit56 board)",V3.2rc1,<devops>
28a97125c71b660b64b7d03dec809d015de5126e,11/15/2024 12:22,Simon Ghionea,,GHL add basic CDC serial command handling for SETCLK to allow setting the datetime through serial,V3.2rc1,add USB cdc commands
bdee8f51afb11a4ea5335e9a662cfac22553f52d,2/12/2025 16:05,Simon Ghionea,,"double the size of the logger queue, to allow more debug and event log messages to be processed",V3.2rc1,"improve robustness, reduce bugs, add debug outputs"
2ae17d2465bc1347d216b2845dccf750bc5c2cfa,2/12/2025 16:07,Simon Ghionea,,"changes to low battery logging, re-write message to file when above recovery"" voltage""",V3.2rc1,add additional logging for low-battery transitions
1e371f5160c163c85448156fb2e186eb35862b9c,2/12/2025 16:16,Simon Ghionea,,changes power-on message and make applicable to all bootups or resets,V3.2rc1,add additional logging on bootup
74c0f5425228e96ee13722c50cfd0058e613fb24,2/14/2025 12:54,Simon Ghionea,,CDC serial command GETVER,V3.2rc1,add USB cdc commands
e60af5cb79d97dce4604e9389ac4092243abed85,2/14/2025 16:17,Simon Ghionea,,"WIP: remap usb endpoints, to have simultaneous MSC and CDC. kind-of works, but when doing a sample-prep run there are pretty frequent NOR flash errors and reboots in the middle of runs :-(",V3.2rc1,rework USB to allow simultaneous CDC and MSC modes
bb5568f43d571ff2dfca32ccb420c75de518e9f3,2/18/2025 20:26,Simon Ghionea,,move cdc serial port rx parsing out of logger task and into main_task,V3.2rc1,<devops>
d765d4ac7fea6cc89e3366082ca607f45c43f4ed,2/18/2025 20:58,Simon Ghionea,,add USB CDC COM commands STATUS and CFGGET,V3.2rc1,add USB cdc commands
af01f6d752cb12da57af5151516383549233190a,2/18/2025 21:38,Simon Ghionea,"ghlgit/GHL_usb_work_msc_and_cdc_simultaneous, GHL_usb_work_msc_and_cdc_simultaneous",add reboot log-message that includes reset-reasons from NRF registers,V3.2rc1,add additional logging on bootup
0632d77aa9590249a5e7a27ce754ef3a45b9ff38,2/20/2025 16:52,Simon Ghionea,,set compile for powermodule,V3.2rc1,<devops>
cb987298aee358245e91f78ee978a5fdf2a6819a,2/20/2025 16:52,Simon Ghionea,,make GETCFG compile for power module,V3.2rc1,<devops>
9085db652d770c39e904a2a86608abb309127aff,2/21/2025 10:33,Simon Ghionea,,"work on USB-CDC commands, move to a separate new task",V3.2rc1,add USB cdc commands
cdce1de7fe647a8fe7524190075d78a1e5d93dac,2/21/2025 11:18,Simon Ghionea,,trigger power module only on low->high transition (don't begin run when powered on with cassette installed),V3.2rc1,change powermodule run-start conditions to require state change
ce62a1f614a2e129d9773f297360477205ed22bd,2/21/2025 11:58,Simon Ghionea,,add software watchdog debug statements to try to debug watchdog resets,V3.2rc1,"improve robustness, reduce bugs, add debug outputs"
e8dd5386399758cac2f2a90078ed061b8c2b6abb,2/21/2025 12:15,Simon Ghionea,,fix the consistent software watchdog reset in heater_task on powermodule run completion on the first successful run after bootup,V3.2rc1,fix problem where powermodule was rebooting after successful run completion
8c494d43837662a66ac2d19b6e597c33391b8873,2/21/2025 12:16,Simon Ghionea,,start simple GPREGRET2 usage and logging on first boot-up,V3.2rc1,add additional logging on bootup
3ca23b56032b70cb778970a201e3b3a94d29e589,2/21/2025 12:56,Simon Ghionea,,make USB CDC command REFORMAT work,V3.2rc1,add USB cdc commands
5ab1cd874d28a188d7f29f11fc7efa1370ef40d6,2/21/2025 13:11,Simon Ghionea,,USB CDC status command add uniqueid (device mac address),V3.2rc1,add USB cdc commands
f3588d340fa4fd08e70562d4bc50850f58639cf8,2/21/2025 13:34,Simon Ghionea,,set to bootloader linker,V3.2rc1,<devops>
b5bd57e54fde8dfbee35e519a42e16df20109165,2/21/2025 13:35,Simon Ghionea,"tag: PM_V3.2rc1, ghlgit/GHL_PM_debug_reboot_after_goodrun, ghlgit/GHL_PM_V3.2rc1, GHL_PM_debug_reboot_after_goodrun, GHL_PM_V3.2rc1",bump version string to 3.2rc1 and set defaults according to chin's testing,V3.2rc1,set default config
082b9425fd65b9b9affdd8aaa58ef2c7eac286e9,2/21/2025 16:13,Simon Ghionea,,"Power Module buzzer capability hacked-in, with simple tones on error and on completion",v3.2rc2,add powermodule buzzer support
175495f974a0527896eb35edb4f922060aeddb14,2/21/2025 21:02,Simon Ghionea,"ghlgit/GHL_PM_bringup_buzzer_and_other_leds, GHL_PM_bringup_buzzer_and_other_leds",better CFGGET formatting,v3.2rc2,add USB cdc commands
f3c5d54e109bfe3529a6a24a4e87b9f50b04d3b6,2/11/2025 14:12,Simon Ghionea,,WIP: add some query to the RTC,v3.2rc2,fix RTC reset issue seen when batteries first plug in
d405fc23fbf9ac2903b18e081272c790e529b74f,2/21/2025 22:57,Simon Ghionea,"ghlgit/GHL_better_clockcalendar_inits, GHL_better_clockcalendar_inits","fix RTC not ticking problem on some units by always reset RTC when setting time, and add a USB CDC function to read and return some RTC status register",v3.2rc2,fix RTC reset issue seen when batteries first plug in
004a3cf817e5aad86d21cf2e6473ac3aa882617e,2/22/2025 10:17,Simon Ghionea,,WIP kv store implementation,v3.2rc2,rework configuration file framework to use key-value tables
b49bb587bbb7001d08a17a73b2f7afb86e9b45b4,2/22/2025 17:44,Simon Ghionea,,Power module add short sound on startup,v3.2rc2,add powermodule buzzer support
61c2378c25b19b6b4569aa36a1ea8b0492d9439a,2/22/2025 17:49,Simon Ghionea,,Merge branch 'GHL_V3.2rc2' into GHL_rework_storage_to_keyvalue_pairs,v3.2rc2,rework configuration file framework to use key-value tables
77bfbe4824b5a00ace952c0d6637918bf863c3e0,2/22/2025 22:47,Simon Ghionea,,"WIP: master and cycle configs now being read with key value system, powermodule tested but not SP yet",v3.2rc2,rework configuration file framework to use key-value tables
7276c338b7aad3b080a7dee9aaf660ea1a7a49e9,2/23/2025 13:33,Simon Ghionea,,"change storage to create master config file from the key-value table, add powermodule sound volume to config",v3.2rc2,rework configuration file framework to use key-value tables
5656ca5c2b0bc8ed623152fe770a7427366c3c59,2/23/2025 20:42,Simon Ghionea,,tested key-value store on sampleprep,v3.2rc2,rework configuration file framework to use key-value tables
015b2ecbc64b06c0f8676c909632572f97245bb2,2/24/2025 7:29,Simon Ghionea,,bump version to V3.2rc2 (works SP and PM); do_automatic_runs now config item for sampleprep,v3.2rc2,set default config
05da0701283b36f52ff87c02e7bc10486849f238,2/24/2025 13:59,Simon Ghionea,"tag: V3.2rc2, ghlgit/GHL_rework_storage_to_keyvalue_pairs, ghlgit/GHL_V3.2rc2, GHL_rework_storage_to_keyvalue_pairs, GHL_V3.2rc2",handle issue for motor-stall where mainErrorQueue has > 1 items on stall condition; add I2C retry counter and message in log,v3.2rc2,fix sampleprep issue which manifested with subsequent runs after stall could terminate early with erroneous stall message; add I2C retry counter logging
8795ac0f96244010d51d28677e8934197bcd9904,2/25/2025 6:31,Simon Ghionea,ghlgit/GHL_V3.2,add decorators to naatos_config_File.c,v3.2rc3,<devops>
915ba1fd4e83b5e5d01a2e664d5692bde95233da,2/25/2025 15:39,Simon Ghionea,,fix typo in the power module config for valve zone PID values (Swapped KI and KD),v3.2rc3,fix typo with powermodule configuration table
53eee6a8a880f4180bb6b39cdf7e22e5abe23cad,2/25/2025 15:41,Simon Ghionea,"tag: PM_V3.2rc3, ghlgit/GHL_V3.2rc3, GHL_V3.2rc3",version string to V3.2rc3,v3.2rc3,<devops>
